CODIGO;NOME;PALETE;LASTRO;CAIXA
19321;GUARANA ANTARCTICA ZERO PET 200ML SH C/12 (GCAZERO 200);400;40;12
18267;SODA LIMONADA ANTARCTICA PET 200ML SH C/12 (SLA 200);400;40;12
18268;SUKITA PET 200ML SH C/12 (SUK 200);400;40;12
20178;PEPSI TWIST PET 200ML SH C/12 (PC TW 200);400;40;12
4293;PEPSI BLACK PET 200ML SH C/12 (PC BLACK 200);400;40;12
18266;PEPSI COLA PET 200ML SH C/12 (PC 200);400;40;12
18137;GUARANA CHP ANTARCTICA PET 3L C/04 SHRINK LISO (GCA 3L);80;20;4
18341;PEPSI COLA PET 3000 ML C/04 SHRINK LISO . (PC 3L);80;20;4
8791;H2OH LIMAO C/GAS PET 500ML CAIXA C/12 (H2OH LIM 500);168;24;12
11102;H2OH CITRUS C/GAS PET 500ML SHRINK C/12 NPAL (H2OH CIT 500);168;24;12
13061;H2OH LIMONETO PET 500ML SHRINK C/12 NPAL (H2OH LIMONETO 500);168;24;12
8919;GUARANA CHP ANTARCTICA PET 600ML CX12 NPAL (GCA 600);144;18;12
8921;GUARANA CHP ANTARCTICA DIET PET 600ML CX12 NPAL (GCAD 600);144;18;12
33167;PEPSI BLACK PET 600ML SH C/12 NPAL (PC BLACK 600);144;18;12
8923;PEPSI COLA PET 600ML CX12 NPAL (PC 600);144;18;12
8931;SUKITA PET 600ML CX12 NPAL (SUK 600);144;18;12
5943;AGUA MIN FONTE DA ILHAC/GAS PET 2L CAIXA C/6 SHRINK DECORADO (AGUA C/G 2L);100;20;6
8432;AGUA MIN CLUB AGUA S/GAS PET 500ML CAIXA C/12 (AGUA S/G 500);175;25;12
8434;AGUA MIN CLUB AGUA C/GAS PET 500ML CAIXA C/12 (AGUA C/G 500);175;25;12
8436;AGUA MIN CLUB AGUA S/GAS PET 1,5L CAIXA C/6 (AGUA S/G 1,5);125;25;6
13015;FONTE DA ILHA AGUA M SG PET 300 ML CAIXA C/ 12 (AGUA 300 SEM GAS);182;26;12
13017;FONTE DA ILHA AGUA M CG PET 300 ML CAIXA C/ 12 (AGUA 300 COM GAS);182;26;12
15414;FONTE DA ILHA AGUA M SG PET 500ML CX C-12 PREMIUM (AG S/G PREM);140;20;12
15416;FONTE DA ILHA AGUA M CG PET 500ML CX C-12 PREMIUM (AG C/G PREM);140;20;12
18750;PATAGONIA BOH PILS NACIONAL ONE WAY 740ML CX6 (PATAG 740 BOH PILS);140;28;6
18752;PATAGONIA WEISSE NACIONAL ONE WAY 740ML CX6 (PATAG 740 WEISSE);140;28;6
18772;PATAGONIA AMB LAG NACIONAL ONE WAY 740ML CX6 (PATAG 740 AMB LAG);140;28;6
23220;PATAGONIA IPA ONE WAY 740ML CX6 (PATAG 740 IPA);140;28;6
13196;SKOL ONE WAY 300ML CX C/23 (SK LITRINHO OW C23);90;10;23
13194;BRAHMA CHOPP ONE WAY 300ML CX C/23 (BC OW LITRINHO C23);90;10;23
13201;BRAHMA CHOPP GFA VD 300ML CX C/23 (BC LITRINHO RET);90;10;23
20217;ORIGINAL GFA VD 300ML CX C/23 (ORIG LITRINHO);90;10;23
29703;BUDWEISER GFA VD 300ML CX C/23 (BUD LITRINHO);90;10;23
14340;ORIGINAL ONE WAY 300ML CXPAP12 (ORIG LITRINHO OW);90;10;23
13205;SKOL GFA VD 300ML CX C/23 (SK LITRINHO RET);90;10;23
13578;BRAHMA CHOPP ZERO GFA VD 300ML CX C/23 (BC ZERO LITRINHO RET);90;10;23
982;SKOL 600ML (SK 600);84;14;12
988;BRAHMA CHOPP 600ML (BC 600);84;14;12
2538;ANTARCTICA PILSEN 600ML (AP 600);84;14;12
2544;EXTRA SERRAMALTE 600ML (SERRAM 600);84;14;12
2545;POLAR EXPORT 600ML (PE 600);84;14;12
2546;ORIGINAL 600ML (ORIG 600);84;14;12
8336;ORIGINAL ONE WAY 600ML CX 12 (ORIG 600 ow);75;15;12
32785;CORONA EXTRA N ONE WAY 600ML GARRAFEIRA C/24 (Corona 600);42;14;24
2548;BUDWEISER 600ML (BUD 600 RGB);84;14;12
14550;COLORADO APPIA ONE WAY 600ML CX C-12 ARTE (CAL APPIA 600);84;14;12
14552;COLORADO INDICA ONE WAY 600ML CX C-12 ARTE (COL INDICA 600);84;14;12
19166;COLORADO LAGER ONE WAY 600ML CX C-12 ARTE (COL LAG 600);84;14;12
20530;STELLA ARTOIS 600 ML (STELLA 600);84;14;12
23186;SPATEN N 600ML (SPATEN 600 RGB C24);84;14;12
21668;SPATEN N ONE WAY 600ML CX C/12 NP ARTE (SPATEN 600 OW);80;16;12
20535;STELLA ARTOIS ONE WAY 600ML CX C/12 NPAL (STELLA 600 OW);80;16;12
20498;BRAHMA DUPLO MALTE LT SLEEK 350ML SH C 12 (BCDM 350);280;28;12
19310;ORIGINAL LATA 350ML CX CARTAO C/12 NPAL (ORI 350);286;22;12
34263;CORONA CERO SUNBREW N LT SLEEK 350ML C 8 CX CARTAO (COR CERO 350 C8);400;40;8
